,tweet_id,text,query,user_id,user_name,follower_count,user_tweet_count,likes,retweets,location_name,latitude,longitude,user_location,date
1,1.35E+18,right because letting the pandemic run riot watching death rates mount as the nhs collapses to the point you are aware youre probably on your own should youfamily get sick that wouldnt be a downer at all because gyms,death rates,367649059,,68,6993,6,0,,NA,NA,,1/6/21
2,1.35E+18,revjoe great show patriots thank you more prayers for americas covid19 recovery please wear a mask,covid,2400916699,,3217,29577,1,0,,NA,NA,CA,1/6/21
3,1.35E+18,mean while still no riot gear make it make sense chief contee will contribute to the increase of covid19 numbers because are not making them enforce covid guidelines and the dc wearamask,covid,1.34E+18,,86,694,0,16,,NA,NA,,1/6/21
4,1.35E+18,not prisons though not solitary confinement not sentencing reform still have 1 in 9 people serving life have lost 120 people to covid facilities failing sewage backing up riots around the state 4 commutations in a pandemic refusing meetings w advocates for months,covid,1.06E+18,,3355,7616,0,17,,NA,NA,NY,1/6/21
5,1.35E+18,only a true patriot would travel to washington dc to urinate on the us capitol,travel,17323476,,883,38101,1,0,,NA,NA,,1/6/21
6,1.35E+18,if you have the time amp money to travel to dc in the midst of a pandemic and the economic crisis of a lifetime to rally on behalf of a conman who pays 750 in taxes and has only taken from this country never given youre not a patriot youre a fool,travel,1.29E+18,,408,9852,0,7048,,NA,NA,,1/6/21
7,1.35E+18,if you have the time amp money to travel to dc in the midst of a pandemic and the economic crisis of a lifetime to rally on behalf of a conman who pays 750 in taxes and has only taken from this country never given youre not a patriot youre a fool,travel,1.10E+18,,10,658,0,7048,,NA,NA,,1/6/21
8,1.35E+18,banana republic is what we called them a ways back countries where lawlessness reigns supreme where the sitting president incites riots etc,travel,2434600196,,256,2942,3,0,,NA,NA,,1/6/21
9,1.35E+18,if you have the time amp money to travel to dc in the midst of a pandemic and the economic crisis of a lifetime to rally on behalf of a conman who pays 750 in taxes and has only taken from this country never given youre not a patriot youre a fool,travel,18109492,,134,9601,0,7048,,NA,NA,USA,1/6/21
10,1.35E+18,in furtherance of a riot and who either during the course of any such travel or use or thereafter performs or attempts to perform any other overt act for any purpose specified 5,travel,325389471,,3025,9063,5,0,,NA,NA,PA,1/6/21
11,1.35E+18,reminder fo what capitol security in full militarygrade riot gear looked like for black lives matter protests this summer,travel,24559714,,22698,5156,0,137758,,NA,NA,,1/6/21
12,1.35E+18,the proud boys travel state lines and to places they arent from to intimidate the proud boys were the ones storming the capitol and defaced a black church the proud boys and cops were planted to incite riots blamed on antifa and blm,travel,1.06E+18,,43,2985,5,0,,NA,NA,TX,1/6/21
13,1.35E+18,heres an idea after theyre finished counting the ec votes someone draft articles of impeachment charges are sedition and inciting a riot remove him from office today pence can see out the next two weeks,travel,38470444,,1425,13707,7,1,,NA,NA,NY,1/6/21
14,1.35E+18,if you have the time amp money to travel to dc in the midst of a pandemic and the economic crisis of a lifetime to rally on behalf of a conman who pays 750 in taxes and has only taken from this country never given youre not a patriot youre a fool,travel,1.35E+18,,2,352,0,7048,,NA,NA,,1/6/21
15,1.35E+18,i thought the patriots respected property didnt that kyle guy travel to wisconsin with weapons ostensibly to protect property where is he now with that same energy,travel,99670103,,1230,174386,0,1,,NA,NA,,1/6/21
16,1.35E+18,i thought the patriots respected property didnt that kyle guy travel to wisconsin with weapons ostensibly to protect property where is he now with that same energy,travel,207601941,,1262,110407,2,1,,NA,NA,NY,1/6/21
17,1.35E+18,trump should be charged w incitement of a riot if any of these protestors have jobs since they have the time travel to a protest they should be fired hopefully the media has lots of photos of these childish fools,travel,8.18E+17,,342,27778,0,0,"Cincinnati, OH",-84.710722,39.052962,OH,1/6/21
18,1.35E+18,if you have the time amp money to travel to dc in the midst of a pandemic and the economic crisis of a lifetime to rally on behalf of a conman who pays 750 in taxes and has only taken from this country never given youre not a patriot youre a fool,travel,8.33E+17,,149,53786,0,7047,,NA,NA,VA,1/6/21
19,1.35E+18,if you have the time amp money to travel to dc in the midst of a pandemic and the economic crisis of a lifetime to rally on behalf of a conman who pays 750 in taxes and has only taken from this country never given youre not a patriot youre a fool,travel,9.53E+17,,2205,13716,0,7047,,NA,NA,FL,1/6/21
20,1.35E+18,breaking news breaking news its very obvious america hakuna mawe trump supporters would be in full riot at capitol hill travel advisories from expected shortly following electoral violence in america,travel,22052038,,1195,20906,0,0,,NA,NA,,1/6/21
21,1.35E+18,how to select the best marriott annual choice benefit by the jan 8 deadline travel explore,travel,2717519659,,425,36611,0,0,,NA,NA,,1/6/21
22,1.35E+18,how to select the best marriott choice benefit the points guy photography travel photo traveldestination vacation traveltips,travel,938879646,,2141,7744,0,0,,NA,NA,,1/6/21
23,1.35E+18,blog new york city usa 2019 nyc usa thehighline hudsonriver christopherstreetpiers posefx stonewallriots stonewallinn lgbtq blog travel,travel,546823454,,4018,33055,0,1,,NA,NA,,1/6/21
24,1.35E+18,people dont want no war what the hell they trying to do spread the coronavirus and bring that other bad ass virus to the light fight your damn selveslook in the mirror and just slap your damn selves for trying to start a race riot and spreading the virus get real ,coronavirus,1.33E+18,,2,184,0,0,,NA,NA,,1/6/21
25,1.35E+18,the health care debate is proof the coronavirus was epidemic riots broke out all over the united states president of healthcare peoples republic of china is trying to sell vaccine of made in china,coronavirus,1.25E+18,,32,29309,0,0,,NA,NA,,1/6/21
26,1.35E+18,iswh investing in the bitcoin stock market hvbtf iswh mara riot,stock market,2649125354,,275,20139,0,1,,NA,NA,FL,1/6/21
27,1.35E+18,iswh investing in the bitcoin stock market hvbtf iswh mara riot,stock market,7.61E+17,,433,2534,4,1,,NA,NA,,1/6/21
